Commodity,Year,Attribute,Value,Notes
Frozen fruit (processed-weight basis): Per capita availability,2007,Berries-Strawberries-Pounds,1.902742609,
Frozen fruit (processed-weight basis): Per capita availability,2008,Berries-Strawberries-Pounds,1.996854787,
Frozen fruit (processed-weight basis): Per capita availability,2009,Berries-Strawberries-Pounds,1.735072296,
Frozen fruit (processed-weight basis): Per capita availability,2010,Berries-Strawberries-Pounds,2.169846977,
Frozen fruit (processed-weight basis): Per capita availability,2011,Berries-Strawberries-Pounds,1.851912269,
Frozen fruit (processed-weight basis): Per capita availability,2012,Berries-Strawberries-Pounds,2.064886239,
Frozen fruit (processed-weight basis): Per capita availability,2013,Berries-Strawberries-Pounds,1.958340378,
Frozen fruit (processed-weight basis): Per capita availability,2014,Berries-Strawberries-Pounds,2.155123912,
Frozen fruit (processed-weight basis): Per capita availability,2015,Berries-Strawberries-Pounds,2.159178387,
Frozen fruit (processed-weight basis): Per capita availability,2016,Berries-Strawberries-Pounds,1.992671565,
Frozen fruit (processed-weight basis): Per capita availability,2017,Berries-Strawberries-Pounds,1.971767433,
Frozen fruit (processed-weight basis): Per capita availability,2018,Berries-Strawberries-Pounds,2.024695737,
Frozen fruit (processed-weight basis): Per capita availability,2019,Berries-Strawberries-Pounds,2.083177173,
Frozen fruit (processed-weight basis): Per capita availability,2020,Berries-Strawberries-Pounds,2.095618723,
Frozen fruit (processed-weight basis): Per capita availability,2021,Berries-Strawberries-Pounds,2.130162844,
Frozen fruit (processed-weight basis): Per capita availability,1970,Berries-Other berries-Pounds,0.062910871,"Includes boysenberries and includes loganberries only up to 1995, when loganberries were included with other berries."
Frozen fruit (processed-weight basis): Per capita availability,1971,Berries-Other berries-Pounds,0.071751557,"Includes boysenberries and includes loganberries only up to 1995, when loganberries were included with other berries."
Frozen fruit (processed-weight basis): Per capita availability,1972,Berries-Other berries-Pounds,0.061935435,"Includes boysenberries and includes loganberries only up to 1995, when loganberries were included with other berries."
Frozen fruit (processed-weight basis): Per capita availability,1973,Berries-Other berries-Pounds,0.046718167,"Includes boysenberries and includes loganberries only up to 1995, when loganberries were included with other berries."
